"Country" "adjusted_savings" "Edu_Index" "GDP_imports_exports" "GDP_per_capita" "Laborparticipation" "Life_expctancy_index" "PrisonPop_100kpeople" "youth_not_in_school_or_employment" "system"
"1" "Afghanistan" -2.6 0.39 81.6 1773 63.9 0.647 80 NA "Presidential"
"2" "Albania" 8.1 0.743 76.5 10370 57.4 0.881 158 27.6 "Parliamentary"
"3" "Algeria" 24.6 0.639 65.4 13226 42.7 0.853 133 22.7 "Presidential"
"4" "Angola" -19.5 0.435 91.8 6645 77.9 0.573 NA NA "Presidential"
"5" "Argentina" 8.8 0.822 30.5 19392 60.7 0.855 148 18.4 "Presidential"
"6" "Armenia" -1.1 0.736 76 7505 60.4 0.828 165 36.8 "Presidential"
"7" "Australia" 9.4 0.928 43.2 42848 65.3 0.958 129 9.9 "Parliamentary"
"8" "Austria" 12.9 0.841 105.2 44552 60.3 0.937 103 6.8 "Parliamentary"
"9" "Azerbaijan" 20.7 0.665 78.3 15889 64.3 0.792 224 NA "Presidential"
"10" "Bahamas" 19.4 0.729 84.3 30079 74.9 0.807 385 NA "Parliamentary"
"11" "Bahrain" 17.2 0.664 185.9 40969 71.5 0.867 177 NA "Presidential"
"12" "Bangladesh" 28.2 0.456 48.1 2791 56.6 0.779 44 NA "Parliamentary"
"13" "Barbados" -0.5 0.776 86.4 16338 66.7 0.901 371 NA "Parliamentary"
"14" "Belarus" 24.7 0.833 153.1 17472 63.7 0.801 304 NA "Presidential"
"15" "Belgium" 10.5 0.874 164 41125 53.1 0.93 101 12.3 "Parliamentary"
"16" "Belize" -2.1 0.665 124.9 7875 68.8 0.816 756 11.9 "Parliamentary"
"17" "Benin" -0.1 0.433 54.8 1856 70.9 0.613 NA NA "Presidential"
"18" "Bhutan" 42.9 0.424 101.8 7548 65.6 0.758 144 NA "Presidential"
"19" "Bolivia (Plurinational State of)" 9.4 0.644 84.9 5716 68.9 0.754 139 10.4 NA
"20" "Botswana" 30.3 0.645 110.7 14284 68.2 0.669 203 NA "Parliamentary"
"21" "Brazil" 8.7 0.628 25.1 15215 64.4 0.834 284 20 "Presidential"
"22" "Brunei Darussalam" 38 0.709 105.6 82150 66.3 0.846 121 NA NA
"23" "Bulgaria" 8.6 0.764 124.8 15772 53.1 0.833 130 21.5 "Parliamentary"
"24" "Burkina Faso" 3.3 0.253 62.7 1521 68.6 0.59 30 NA "Presidential"
"25" "Burundi" -14.1 0.399 43.7 748 78.7 0.593 68 NA "Presidential"
"26" "Cabo Verde" 11.4 0.524 100.3 6091 67.3 0.791 262 NA NA
"27" "Cambodia" 8.6 0.455 120.6 2806 83.7 0.73 104 12.7 "Parliamentary"
